recv_time sog lng lat
2017-02-11 11:52:06 78 121.549673 31.405243
2017-02-11 11:52:16 78 121.549313 31.405428
2017-02-11 11:52:55 77 121.54791 31.406173
2017-02-11 11:53:06 77 121.547591 31.406351
2017-02-11 11:53:26 76 121.546826 31.406798
2017-02-11 11:53:36 76 121.546551 31.406953
2017-02-11 11:53:46 76 121.546141 31.40719
2017-02-11 11:53:55 76 121.545835 31.407365
2017-02-11 11:54:07 75 121.545465 31.407576
2017-02-11 11:54:17 75 121.545123 31.407773
2017-02-11 11:54:26 75 121.544783 31.407968
2017-02-11 11:54:36 75 121.544476 31.408145
2017-02-11 11:54:46 75 121.544098 31.408363
2017-02-11 11:54:56 75 121.54379 31.408541
2017-02-11 11:55:16 75 121.543141 31.408933
2017-02-11 11:55:26 75 121.542741 31.409168
2017-02-11 11:56:07 74 121.54138 31.40993
2017-02-11 11:56:26 74 121.540705 31.410311
2017-02-11 11:56:36 74 121.540405 31.410485
2017-02-11 11:56:46 74 121.540043 31.410698
2017-02-11 11:56:56 74 121.539755 31.410868
2017-02-11 11:57:06 74 121.539433 31.41105
2017-02-11 11:58:06 74 121.537406 31.412181
2017-02-11 11:58:27 74 121.536681 31.412576
2017-02-11 11:58:36 74 121.536365 31.412741
2017-02-11 11:58:47 74 121.535978 31.412941
2017-02-11 11:59:06 74 121.53539 31.41324
2017-02-11 11:59:15 75 121.53501 31.413433
2017-02-11 12:00:54 78 121.531446 31.415226
2017-02-11 12:01:15 78 121.530705 31.415581
2017-02-11 12:01:27 79 121.530261 31.415793
2017-02-11 12:01:36 79 121.530038 31.415896
2017-02-11 12:01:55 80 121.529198 31.416271
2017-02-11 12:02:17 81 121.528345 31.416645
2017-02-11 12:02:36 82 121.527595 31.416971
2017-02-11 12:02:55 83 121.526835 31.417308
2017-02-11 12:03:06 83 121.526386 31.417501
2017-02-11 12:03:16 84 121.525935 31.4177
2017-02-11 12:03:27 85 121.525565 31.417865
2017-02-11 12:03:36 85 121.525156 31.418041
2017-02-11 12:04:06 86 121.523866 31.418591
2017-02-11 12:04:16 86 121.52345 31.418768
2017-02-11 12:04:56 88 121.521776 31.419506
2017-02-11 12:05:17 88 121.520928 31.419891
2017-02-11 12:05:45 89 121.519686 31.420443
2017-02-11 12:06:16 91 121.518336 31.421033
2017-02-11 12:06:26 91 121.517941 31.421205
2017-02-11 12:06:46 92 121.517055 31.42158
2017-02-11 12:06:56 92 121.516565 31.421786
2017-02-11 12:07:17 93 121.515668 31.42218
2017-02-11 12:07:35 94 121.514856 31.422546
2017-02-11 12:07:56 95 121.513858 31.423
2017-02-11 12:08:05 95 121.513491 31.423168
2017-02-11 12:08:16 95 121.512941 31.42342
2017-02-11 12:09:05 97 121.510733 31.424476
2017-02-11 12:09:16 97 121.510188 31.424756
2017-02-11 12:09:26 98 121.509778 31.424975
2017-02-11 12:10:05 99 121.507986 31.425906
2017-02-11 12:10:26 98 121.507026 31.426408
2017-02-11 12:10:55 98 121.505711 31.427101
2017-02-11 12:11:05 97 121.505265 31.427343
2017-02-11 12:11:35 95 121.503883 31.42808
2017-02-11 12:12:05 93 121.502575 31.428721
2017-02-11 12:12:17 93 121.502045 31.428965
2017-02-11 12:12:26 92 121.501651 31.429145
2017-02-11 12:12:55 88 121.500421 31.429701
2017-02-11 12:13:05 87 121.499996 31.429885
2017-02-11 12:13:16 87 121.499483 31.430095
2017-02-11 12:14:05 82 121.497543 31.430955
2017-02-11 12:14:16 80 121.497086 31.431183
2017-02-11 12:14:25 79 121.496756 31.431365
2017-02-11 12:15:45 69 121.494423 31.433206
2017-02-11 12:16:05 68 121.493975 31.433663
2017-02-11 12:16:26 67 121.493535 31.434168
2017-02-11 12:16:36 67 121.493296 31.434481
2017-02-11 12:16:45 68 121.493115 31.434683
2017-02-11 12:17:05 70 121.492641 31.435188
2017-02-11 12:17:16 71 121.492338 31.435481
2017-02-11 12:17:25 71 121.49211 31.435701
2017-02-11 12:17:45 72 121.491583 31.436186
2017-02-11 12:17:55 73 121.491315 31.436436
2017-02-11 12:18:17 76 121.490733 31.436981
2017-02-11 12:18:27 77 121.490453 31.43725
2017-02-11 12:18:55 80 121.489601 31.438043
2017-02-11 12:19:04 81 121.489323 31.438285
2017-02-11 12:19:36 84 121.48834 31.439163
2017-02-11 12:19:45 85 121.488086 31.43939
2017-02-11 12:19:57 86 121.487698 31.439735
2017-02-11 12:20:26 89 121.486713 31.440616
2017-02-11 12:20:37 91 121.486376 31.440923
2017-02-11 12:20:45 92 121.486071 31.441203
2017-02-11 12:20:56 93 121.485691 31.441548
2017-02-11 12:21:05 94 121.485415 31.441805
2017-02-11 12:21:27 97 121.484626 31.442513
2017-02-11 12:21:36 98 121.484266 31.442845
2017-02-11 12:21:45 99 121.48394 31.443145
2017-02-11 12:21:57 99 121.483536 31.443513
2017-02-11 12:22:05 100 121.483201 31.44382
2017-02-11 12:22:16 101 121.482828 31.444163
2017-02-11 12:22:26 102 121.48241 31.444543
2017-02-11 12:22:36 103 121.482031 31.444893
2017-02-11 12:22:57 104 121.481248 31.445578
2017-02-11 12:23:26 106 121.480056 31.446628
2017-02-11 12:23:36 106 121.479655 31.446988
2017-02-11 12:23:47 107 121.47925 31.447353
2017-02-11 12:24:26 109 121.477626 31.448821
2017-02-11 12:25:06 110 121.476036 31.450263
2017-02-11 12:25:26 110 121.475203 31.451008
2017-02-11 12:26:46 109 121.471895 31.454001
2017-02-11 12:27:16 109 121.47069 31.455121
2017-02-11 12:27:47 110 121.4695 31.456261
2017-02-11 12:28:47 111 121.467091 31.458573
2017-02-11 12:29:37 113 121.46511 31.460546
2017-02-11 12:29:46 112 121.464728 31.46095
2017-02-11 12:29:57 113 121.464345 31.46136
2017-02-11 12:30:07 113 121.463958 31.461765
2017-02-11 12:30:16 113 121.463566 31.46217
2017-02-11 12:30:47 115 121.462381 31.463386
